,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5,,2.85,17,Maruti,SwiftDzire
907,Maruti Ritz VDi,Hyderabad,2010,79324,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.3,15,Maruti,RitzVDi
908,Maruti Swift Dzire VXI,Bangalore,2013,38623,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,,5.0,12,Maruti,SwiftDzire
909,Maruti Swift ZDi,Coimbatore,2014,59923,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,6.46,11,Maruti,SwiftZDi
911,Maruti Zen VXI BSII,Kochi,2003,61495,Petrol,Manual,Third,17.3 kmpl,993 CC,60 bhp,5,,1.52,22,Maruti,ZenVXI
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.98 Lakh,3.61,13,Maruti,Eeco7
916,Maruti Swift Dzire VDi,Hyderabad,2010,130000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,,3.65,15,Maruti,SwiftDzire
922,Maruti Celerio VXI,Bangalore,2015,74000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.15,10,Maruti,CelerioVXI
930,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,Manual,Second,18.2 kmpl,1061 CC,64 bhp,5,,1.65,18,Maruti,ZenEstilo
931,Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,8.25,8,Maruti,Ciaz1.4
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,9.53 Lakh,6.5,9,Maruti,BalenoAlpha
943,Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,7.5,9,Maruti,CiazZDi
944,Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5,,2.15,18,Maruti,SX4Vxi
948,Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,4.2,12,Maruti,RitzVXi
950,Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.8,11,Maruti,SwiftDzire
953,Maruti Baleno Delta 1.2,Pune,2016,14930,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,5.85,9,Maruti,BalenoDelta
960,Maruti Alto 800 VXI,Kolkata,2016,26000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.6,9,Maruti,Alto800
968,Maruti Swift Dzire VXi,Kolkata,2008,47000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,,1.4,17,Maruti,SwiftDzire
970,Maruti Ritz VDi,Hyderabad,2012,96000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.6,13,Maruti,RitzVDi
973,Maruti Wagon R LXI,Delhi,2007,65000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5,,1.25,18,Maruti,WagonR
979,Maruti Wagon R VXI BS IV,Pune,2014,51000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,3.1,11,Maruti,WagonR
981,Maruti Baleno Vxi - BSIII,Pune,2006,146000,Petrol,Manual,Second,15.4 kmpl,1590 CC,94 bhp,5,,1.05,19,Maruti,BalenoVxi
985,Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.1,14,Maruti,AltoK10
991,Maruti Ciaz 1.3 Alpha,Delhi,2017,26322,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,8.9,8,Maruti,Ciaz1.3
992,Maruti Swift VXI BSIV,Mumbai,2016,9107,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,5.15,9,Maruti,SwiftVXI
994,Maruti Wagon R VXI Minor,Chennai,2010,134000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5,,1.65,15,Maruti,WagonR
997,Maruti Swift Dzire AMT ZDI,Coimbatore,2017,24852,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5,,8.08,8,Maruti,SwiftDzire
1000,Maruti A-Star Lxi,Hyderabad,2010,81448,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.6,15,Maruti,A-StarLxi
1003,Maruti Wagon R LXI Minor,Chennai,2008,55000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5,,1.75,17,Maruti,WagonR
1008,Maruti Omni E MPI STD BS IV,Kochi,2019,11571,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8,,3.8,6,Maruti,OmniE
1009,Maruti Swift ZDi,Hyderabad,2014,81000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,6.1,11,Maruti,SwiftZDi
1018,Maruti Swift Dzire VDI Optional,Kochi,2019,18592,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,8.51,6,Maruti,SwiftDzire
1020,Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5,,2.5,13,Maruti,SwiftVDI
1041,Maruti Swift VXI,Coimbatore,2013,61110,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5,,4.57,12,Maruti,SwiftVXI
1055,Maruti Swift Dzire LDI,Delhi,2014,68462,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,4.15,11,Maruti,SwiftDzire
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1 kmpl,1248 CC,88.5 bhp,5,13.26 Lakh,7.94,9,Maruti,S-CrossZeta
1058,Maruti Wagon R VXI,Delhi,2016,22000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3.7,9,Maruti,WagonR
1069,Maruti Swift Dzire VDI,Kolkata,2014,45000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,3.85,11,Maruti,SwiftDzire
1072,Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,11.27 Lakh,7.0,9,Maruti,ErtigaVDI
1073,Maruti Ertiga ZDI,Ahmedabad,2013,67443,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,,5.75,12,Maruti,ErtigaZDI
1075,Maruti Alto LXi BSIII,Hyderabad,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,1.7,16,Maruti,AltoLXi
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.2 Lakh,10.49,6,Maruti,VitaraBrezza
1079,Maruti Swift ZDi,Pune,2016,58000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,7.55,9,Maruti,SwiftZDi
1092,Maruti Alto K10 VXI AGS,Pune,2015,73204,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,5,,3.3,10,Maruti,AltoK10
1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.46 Lakh,6.5,8,Maruti,VitaraBrezza
1098,Maruti Wagon R VXI,Kolkata,2015,14000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.8,10,Maruti,WagonR
1105,Maruti Wagon R VXI,Coimbatore,2008,53934,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5,,2.69,17,Maruti,WagonR
1108,Maruti Alto 800 2016-2019 LXI,Mumbai,2016,24000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,2.8,9,Maruti,Alto800
1111,Maruti Swift LXI,Pune,2013,32953,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5,,4.65,12,Maruti,SwiftLXI
1121,Maruti Swift VDi BSIII W/ ABS,Pune,2015,79000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,,5.75,10,Maruti,SwiftVDi
1125,Maruti Swift Dzire VDI,Kolkata,2014,57000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,3.89,11,Maruti,SwiftDzire
1127,Maruti Omni 8 Seater BSIV,Coimbatore,2016,55137,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,3.11,9,Maruti,Omni8
1129,Maruti Ertiga SHVS VDI,Ahmedabad,2018,38000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,,8.7,7,Maruti,ErtigaSHVS
1131,Maruti Ciaz VDi Plus SHVS,Jaipur,2017,38282,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,8.5,8,Maruti,CiazVDi
1143,Maruti Swift VDI BSIV,Bangalore,2013,23000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5,,5.6,12,Maruti,SwiftVDI
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11 Lakh,10.46,7,Maruti,VitaraBrezza
1152,Maruti Wagon R VXI BSIII,Chennai,2013,79000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3.0,12,Maruti,WagonR
1155,Maruti Swift VXi BSIV,Delhi,2016,42000,Petrol,Manual,First,16.1 kmpl,1197 CC,85 bhp,5,,4.75,9,Maruti,SwiftVXi
1158,Maruti SX4 ZDI,Chennai,2011,80000,Diesel,Manual,Third,21.5 kmpl,1248 CC,88.8 bhp,5,,3.5,14,Maruti,SX4ZDI
1160,Maruti Baleno Delta 1.2,Delhi,2016,50003,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,5.45,9,Maruti,BalenoDelta
1162,Maruti Swift Dzire AMT ZDI,Jaipur,2016,54897,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5,,7.3,9,Maruti,SwiftDzire
1164,Maruti SX4 S Cross DDiS 320 Zeta,Chennai,2015,73000,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5,,8.25,10,Maruti,SX4S
1165,Maruti Swift VXI BSIII,Ahmedabad,2008,65000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,,2.71,17,Maruti,SwiftVXI
1168,Maruti Celerio VXI AT,Hyderabad,2016,21600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.65,9,Maruti,CelerioVXI
1170,Maruti Swift Dzire VXi,Mumbai,2011,58075,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,2.95,14,Maruti,SwiftDzire
1172,Maruti Swift ZDi,Hyderabad,2015,58000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,5.95,10,Maruti,SwiftZDi
1183,Maruti A-Star Vxi,Hyderabad,2009,66149,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.45,16,Maruti,A-StarVxi
1185,Maruti Wagon R LXI BS IV,Kolkata,2012,35503,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.3,13,Maruti,WagonR
1186,Maruti Swift VDI BSIV,Jaipur,2016,41460,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,5.9,9,Maruti,SwiftVDI
1196,Maruti Alto 800 VXI,Pune,2014,32000,Petrol,Manual,Second,22.74 kmpl,796 CC,47.3 bhp,5,,2.1,11,Maruti,Alto800
1202,Maruti Alto 800 LXI,Kolkata,2013,56840,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,1.55,12,Maruti,Alto800
1206,Maruti Ertiga VDI,Mumbai,2016,54000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,7.75,9,Maruti,ErtigaVDI
1224,Maruti Zen VX,Jaipur,1999,70000,Petrol,Manual,Second,17.3 kmpl,993 CC,60 bhp,5,,0.77,26,Maruti,ZenVX
1225,Maruti 800 DX BSII,Jaipur,2009,32000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,0.9,16,Maruti,800DX
1240,Maruti Ritz VDi,Pune,2013,20248,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,4.35,12,Maruti,RitzVDi
1247,Maruti Swift VDI,Kochi,2017,34613,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.92 Lakh,6.24,8,Maruti,SwiftVDI
1248,Maruti Ertiga VDI Limited Edition,Chennai,2015,153000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,4.8,10,Maruti,ErtigaVDI
1249,Maruti Swift VXi BSIV,Chennai,2014,54000,Petrol,Manual,Second,16.1 kmpl,1197 CC,85 bhp,5,,4.5,11,Maruti,SwiftVXi
1252,Maruti Baleno Sigma 1.2,Kochi,2018,23714,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,6.57,7,Maruti,BalenoSigma
1255,Maruti Swift ZDi,Hyderabad,2016,55746,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,6.95,9,Maruti,SwiftZDi
1266,Maruti Alto K10 2010-2014 VXI,Hyderabad,2012,46004,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.4,13,Maruti,AltoK10
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.83 Lakh,2.95,10,Maruti,Eeco7
1276,Maruti Wagon R LXI Minor,Jaipur,2006,65000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,,1.5,19,Maruti,WagonR
1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5,,9.2,8,Maruti,Ciaz1.4
1298,Maruti Swift Lxi BSIII,Jaipur,2015,78000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,,4.5,10,Maruti,SwiftLxi
1301,Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.13 Lakh,5.25,10,Maruti,SwiftLDI
1312,Maruti Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,4.25,11,Maruti,SwiftVDI
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,6.07 Lakh,6.06,6,Maruti,Ignis1.2
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,,5.29,12,Maruti,SwiftDzire
1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,,5.72,11,Maruti,SwiftDzire
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,7.1,10,Maruti,CiazZDi
1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,7.05,9,Maruti,SwiftDzire
1345,Maruti Baleno Vxi,Pune,2005,70000,Petrol,Manual,First,0.0 kmpl,1590 CC,null bhp,5,,1.3,20,Maruti,BalenoVxi
1350,Maruti SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0 kmpl,1586 CC,104.68 bhp,5,,1.8,18,Maruti,SX4Zxi
1351,Maruti Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,6.93,10,Maruti,CiazVXi
1358,Maruti Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.88,13,Maruti,AltoLXi
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,2.15,9,Maruti,Alto800
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,3.6,6,Maruti,Alto800
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.33 Lakh,3.6,7,Maruti,AltoK10
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51 kmpl,998 CC,67.04 bhp,5,,2.85,12,Maruti,WagonR
1376,Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,,6.75,9,Maruti,BalenoAlpha
1382,Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,1.69,16,Maruti,WagonR
1384,Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,3.2,9,Maruti,RitzLXi
1388,Maruti Swift VDI BSIV,Pune,2013,37000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5,,4.85,12,Maruti,SwiftVDI
1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.0,15,Maruti,RitzVDi
1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,3.1,15,Maruti,AltoLXi
1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,,5.45,12,Maruti,ErtigaZDI
1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.75,8,Maruti,SwiftDzire
1415,Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,5.5,10,Maruti,SwiftDzire
1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,,2.8,11,Maruti,CelerioVXI
1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,0.75,18,Maruti,800AC
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh,3.5,9,Maruti,AltoK10
1445,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5,,4.25,9,Maruti,CelerioVXI
1450,Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,4.9,13,Maruti,SwiftDzire
1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.0,14,Maruti,A-StarVxi
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,2.9,11,Maruti,SwiftDzire
1465,Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.39,13,Maruti,RitzVDi
1467,Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,6.85,11,Maruti,CiazZDi
1470,Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,0.9,19,Maruti,800Std
1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,8.7,6,Maruti,BalenoZeta
1475,Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,6.1,9,Maruti,BalenoZeta
1478,Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.65,10,Maruti,AltoK10
1479,Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,5.27,8,Maruti,SwiftVXI
1491,Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,3.25,11,Maruti,RitzVXI
1498,Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0 kmpl,998 CC,66.1 bhp,5,,1.95,14,Maruti,A-StarVxi
1503,Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,,7.79,9,Maruti,BalenoAlpha
1504,Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,8.27,8,Maruti,ErtigaVDI
1510,Maruti Swift Dzire VDI,Delhi,2013,72486,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,3.95,12,Maruti,SwiftDzire
1512,Maruti Swift Dzire ZXi,Delhi,2013,40000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,4.25,12,Maruti,SwiftDzire
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,11.52 Lakh,9.15,8,Maruti,DzireAMT
1530,Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,4.25,11,Maruti,SwiftVDI
1538,Maruti Alto 800 LXI,Chennai,2015,21000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.79,10,Maruti,Alto800
1546,Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.6,12,Maruti,Omni8
1550,Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,3.5,9,Maruti,SwiftDzire
1554,Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,3.9,13,Maruti,RitzVXI
1559,Maruti SX4 ZDI Leather,Mumbai,2012,90000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5,,3.81,13,Maruti,SX4ZDI
1560,Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.6 kmpl,1197 CC,85.8 bhp,5,,4.5,13,Maruti,SwiftZXI
1563,Maruti Alto LXi BSIII,Coimbatore,2010,59136,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.96,15,Maruti,AltoLXi
1567,Maruti Wagon R VXI BS IV,Kochi,2011,36411,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3.08,14,Maruti,WagonR
1571,Maruti Wagon R LX BS IV,Pune,2011,71000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,2.6,14,Maruti,WagonR
1585,Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,,3.02,12,Maruti,WagonR
1588,Maruti Alto 800 VXI,Kolkata,2015,11110,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.35,10,Maruti,Alto800
1592,Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,5.45,9,Maruti,SwiftVVT
1594,Maruti Swift Dzire ZXI,Kochi,2015,24782,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5,,6.21,10,Maruti,SwiftDzire
1597,Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,,3.1,15,Maruti,SwiftVdi
1602,Maruti 800 AC BSIII,Hyderabad,2011,83969,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,1.3,14,Maruti,800AC
1608,Maruti Wagon R AMT VXI,Jaipur,2016,68630,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5,,3.87,9,Maruti,WagonR
1610,Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,9.28,7,Maruti,Ciaz1.4
1613,Maruti Ciaz ZXi Option,Kochi,2016,40347,Petrol,Manual,First,20.73 kmpl,1373 CC,91.2 bhp,5,,7.8,9,Maruti,CiazZXi
1620,Maruti Celerio VXI AT,Bangalore,2014,49800,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.0,11,Maruti,CelerioVXI
1622,Maruti Swift VDI BSIV,Delhi,2015,60095,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,4.75,10,Maruti,SwiftVDI
1627,Maruti Swift VDI BSIV,Ahmedabad,2017,49224,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,6.0,8,Maruti,SwiftVDI
1628,Maruti 800 Std BSIII,Jaipur,2004,12000,Petrol,Manual,Second,16.1 kmpl,796 CC,37 bhp,4,,0.45,21,Maruti,800Std
1629,Maruti Swift Lxi BSIII,Pune,2010,54898,Petrol,Manual,Third,16.1 kmpl,1298 CC,88.2 bhp,5,,2.5,15,Maruti,SwiftLxi
1634,Maruti Ciaz VXi Plus,Kochi,2015,46601,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,6.84,10,Maruti,CiazVXi
1645,Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.4,15,Maruti,RitzVDi
1648,Maruti A-Star AT Vxi Aktiv,Coimbatore,2013,60587,Petrol,Automatic,Second,16.98 kmpl,998 CC,66.1 bhp,5,,3.49,12,Maruti,A-StarAT
1663,Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5,4.59 Lakh,2.74,13,Maruti,WagonR
1671,Maruti Swift VXI,Coimbatore,2016,18094,Petrol,Manual,Second,18.6 kmpl,1197 CC,85.8 bhp,5,,6.26,9,Maruti,SwiftVXI
1676,Maruti Swift Dzire ZXi,Kochi,2014,49386,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,4.86,11,Maruti,SwiftDzire
1680,Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.7 Lakh,3.22,14,Maruti,AltoK10
1709,Maruti Swift VXI Optional,Kochi,2017,37124,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,5.44,8,Maruti,SwiftVXI
1710,Maruti Baleno Delta Automatic,Delhi,2017,44000,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5,,6.2,8,Maruti,BalenoDelta
